ema_fast,ema_slow,atr_min,k_sl,k_tp,atr_pct_min,min_trend_strength,trades,win_rate,avg_r,total_return_pct,max_dd_pct,profit_factor,score
50,200,5.0,1.0,3.0,0.3,0.005,162,25.925925925925924,0.03703703703703357,2.3235087994028403,48.264858738014794,1.007835805871601,1.248094754581951
50,200,10.0,1.5,3.0,0.0,0.01,73,34.24657534246575,0.027397260273972383,1.0846276553922118,33.712069906485176,1.0094612477479212,1.101824445130432
50,200,5.0,2.0,3.0,0.5,0.01,49,40.816326530612244,0.02040816326530603,0.5311589359814572,24.748053825895198,1.0082226764859314,0.8760267261091391
50,200,10.0,1.0,4.0,0.3,0.005,120,20.833333333333336,0.04166666666666639,0.47802222209456513,43.5842389064748,1.0019828799467834,0.2284953584943137
50,200,5.0,1.0,3.0,0.0,0.005,194,25.773195876288657,0.03092783505154185,0.42646201975695686,51.00606240338548,1.0011835512097762,0.21548985848129687
50,200,10.0,1.5,3.0,0.3,0.005,100,34.0,0.019999999999998366,0.01255721387982689,35.191567862837964,1.0000826818987312,0.012132033263711598
50,200,5.0,1.0,4.0,0.3,0.0,212,20.754716981132077,0.037735849056597055,-0.7738918524537786,52.82870713433391,0.9983908833338222,-0.3040374683188755
50,200,10.0,2.0,3.0,0.5,0.01,47,40.42553191489361,0.010638297872339358,-0.40503374679869975,25.448834778972916,0.9935178801530354,-0.6433970278021742
50,200,5.0,1.0,2.5,0.0,0.01,127,29.133858267716533,0.019685039370077692,-1.2923351301196706,40.181127109504764,0.9939669460453294,-0.9370246985030763
50,200,10.0,2.0,3.0,0.0,0.01,57,40.35087719298245,0.008771929824559549,-0.7014877315606571,27.72803089438984,0.9908359333131767,-1.020831425657238
50,200,10.0,2.0,2.5,0.0,0.01,65,44.61538461538462,0.0038461538461534773,-1.1149081452679122,24.466285776503323,0.9858718951603136,-2.0330856986769836
50,200,10.0,1.0,2.5,0.0,0.01,121,28.92561983471074,0.012396694214874807,-2.9338113896521634,41.1758954474163,0.9857381139824637,-2.0609706723244514
50,200,10.0,1.5,4.0,0.3,0.005,87,27.586206896551722,0.011494252873564361,-2.540845763364308,30.87970079072323,0.982609756938526,-2.2698502616790757
